entry_t,exit_t,direction,entry,tp,sl,exit,result,pnl_pct,pnl_abs
2022-01-06 09:30:00,2022-01-06 09:45:00,long,42550.1674852787,43037.52975977494,42428.32691665464,42428.32691665464,SL,-0.386345685163783,-3.9999999999999996
2022-01-07 13:30:00,2022-01-07 15:45:00,long,41267.3503793291,42175.475557886675,41040.31908468971,41040.31908468971,SL,-0.6501474956655082,-3.92
2022-02-02 21:15:00,2022-02-02 21:30:00,long,37057.59870268893,37493.09184124029,36948.725418051086,36948.725418051086,SL,-0.39379476396008567,-3.8416
2022-02-04 13:15:00,2022-02-04 13:30:00,short,38105.37466846816,37884.04936216364,38160.70599504429,37884.04936216364,TP,0.48082438036664704,7.382329709820094
2022-02-12 21:30:00,2022-02-13 10:30:00,long,41712.29080086012,42519.03852198066,41510.60387057999,42519.03852198066,TP,1.8340767568294405,12.297228271178506
2022-02-23 13:15:00,2022-02-23 14:00:00,short,39238.19244818043,38783.206460669484,39351.938945058166,38783.206460669484,TP,1.0595487944859336,11.300664526029804
2022-02-28 07:00:00,2022-02-28 07:30:00,short,38162.8408554378,37850.68309573445,38240.88029536363,38240.88029536363,SL,-0.30449064633697687,-4.384372450140568
2022-03-04 08:30:00,2022-03-04 08:45:00,long,41043.04250292695,41423.346035947055,40947.966619671926,41423.346035947055,TP,0.8265968354879656,10.708984463158693
2022-03-13 20:00:00,2022-03-13 20:15:00,long,38618.19863121367,38881.389431678945,38552.400931097356,38552.400931097356,SL,-0.27038003440982455,-4.510864690400931
2022-03-17 02:00:00,2022-03-17 02:15:00,short,41366.6509264614,40977.56854041995,41463.92152297177,40977.56854041995,TP,0.8405701871614775,11.087414728793497
2022-03-17 12:15:00,2022-03-17 13:30:00,short,41204.429960206806,40814.2607575429,41301.97226087278,40814.2607575429,TP,0.8469108128439411,11.676185448535726
2022-04-17 13:45:00,2022-04-17 14:30:00,long,40202.94314251683,40396.66636870615,40154.5123359695,40396.66636870615,TP,0.3818632941936266,8.445457052671312
2022-06-06 13:30:00,2022-06-06 13:45:00,long,31275.40937009216,31387.723386218524,31247.330866060565,31387.723386218524,TP,0.2591128569967444,6.887934642755143
2022-07-08 00:45:00,2022-07-08 01:15:00,short,21730.278837543607,21571.793024001505,21769.90029092913,21769.90029092913,SL,-0.2823329267044161,-5.182587234048026
2022-07-28 00:00:00,2022-07-28 02:45:00,short,23000.07155776547,22690.043088013015,23077.578675203582,23077.578675203582,SL,-0.43698641868765536,-5.0789354893670655
2022-07-28 20:30:00,2022-07-28 20:45:00,short,24036.41165372563,23745.312843472624,24109.186356288883,24109.186356288883,SL,-0.4027685813159739,-4.977356779579725
2022-08-07 08:45:00,2022-08-07 09:30:00,long,22880.487497765866,22971.89910739781,22857.63459535788,22971.89910739781,TP,0.2995177534607628,7.309359073279106
2022-08-12 09:45:00,2022-08-12 10:00:00,short,24084.356287921913,23957.530803746915,24116.062658965664,23957.530803746915,TP,0.4265886397744431,9.251915596647473
2022-08-26 00:00:00,2022-08-26 02:00:00,long,21421.19209332481,21567.792076976555,21384.542097411875,21567.792076976555,TP,0.5843689324714421,11.228644463294014
2022-08-28 22:00:00,2022-08-28 22:15:00,long,19890.03643671311,19983.295382604618,19866.721700240236,19983.295382604618,TP,0.368872674960859,9.22717256620114
2022-09-05 10:30:00,2022-09-05 11:15:00,long,19657.475701611867,19753.85979856594,19633.37967737335,19633.37967737335,SL,-0.22257944307947536,-5.618151477976564
2022-09-15 06:45:00,2022-09-15 07:00:00,short,20251.2953381029,20074.151476736628,20295.58130344447,20074.151476736628,TP,0.7747285465388243,13.384783744818735
2022-10-01 05:15:00,2022-10-01 11:15:00,long,19274.764699869258,19389.345070354288,19246.119607248,19246.119607248,SL,-0.24861448669954858,-5.773484123313407
2022-11-07 14:30:00,2022-11-07 15:15:00,long,20627.14721151427,20728.60699583026,20601.782265435275,20728.60699583026,TP,0.39187501924335,9.944148989696917
2022-11-08 11:00:00,2022-11-08 13:45:00,long,19595.724825105062,19769.21149632757,19552.353157299436,19552.353157299436,SL,-0.32133229667555135,-5.856897420641079
2022-11-12 14:45:00,2022-11-12 15:00:00,short,16958.21002791988,16841.07367092473,16987.494117168666,16987.494117168666,SL,-0.2726838457630515,-5.739759472228258
2022-11-23 07:30:00,2022-11-23 10:45:00,short,16598.681495643898,16462.896037068727,16632.62786028769,16632.62786028769,SL,-0.3045124165597099,-5.624964282783692
2022-11-24 22:45:00,2022-11-24 23:00:00,short,16623.017904326673,16569.68410125335,16636.351355095,16569.68410125335,TP,0.2208430826477023,6.755366277397479
2022-11-28 14:30:00,2022-11-28 14:45:00,short,16273.20770161061,16195.552432216671,16292.621518959095,16195.552432216671,TP,0.3771970641427598,9.71388431049569
2022-12-01 13:45:00,2022-12-01 14:45:00,long,17023.309515925786,17105.843784564004,17002.67594876623,17105.843784564004,TP,0.38483092292367815,10.16295643498938
2022-12-09 10:00:00,2022-12-09 10:15:00,short,17251.718878641925,17208.917385495384,17262.41925192856,17208.917385495384,TP,0.14809987600441255,5.525567566709142
2022-12-15 01:30:00,2022-12-15 01:45:00,long,17706.088804397492,17824.612572507176,17676.45786237007,17676.45786237007,SL,-0.26734888407463375,-6.155620488919851
2022-12-16 14:00:00,2022-12-16 14:15:00,long,16925.459837496404,17040.019026627917,16896.820040213526,16896.820040213526,SL,-0.26921133935416025,-6.032508079141454
2022-12-18 14:15:00,2022-12-18 15:00:00,long,16677.298303211883,16708.5580203977,16669.483373915427,16669.483373915427,SL,-0.1468596840709523,-5.911857917558625
2022-12-23 10:30:00,2022-12-23 13:15:00,short,16882.217830315407,16833.048564955236,16894.510146655448,16833.048564955236,TP,0.19124885044355958,6.411718786329655
2022-12-23 20:30:00,2022-12-23 22:15:00,long,16789.233376617678,16828.42999601053,16779.434221769465,16779.434221769465,SL,-0.1583657075245644,-5.921855134934045
2023-01-08 16:00:00,2023-01-08 16:15:00,short,17013.49239292671,16940.936539863345,17031.631356192553,16940.936539863345,TP,0.3264606665562042,9.169644948754065
2023-01-15 08:30:00,2023-01-15 09:00:00,long,20623.215279018972,20732.56601092801,20595.87759604171,20595.87759604171,SL,-0.23255781219077196,-5.986810931210446
2023-01-27 13:30:00,2023-01-27 13:45:00,short,23013.800635897656,22944.250882014265,23031.188074368503,22944.250882014265,TP,0.20220890057987911,6.757958928019284
2023-01-27 14:45:00,2023-01-27 15:00:00,short,23034.92476230328,22931.94186003349,23060.670487870724,23060.670487870724,SL,-0.21176822079131893,-6.002233891146622
2023-01-31 19:00:00,2023-01-31 19:15:00,short,23181.172212469504,23101.124766979305,23201.184073842054,23101.124766979305,TP,0.24531232828312655,7.744262245849636
2023-02-02 14:30:00,2023-02-02 14:45:00,short,23933.65406781997,23809.766684926835,23964.625913543256,23809.766684926835,TP,0.41762836774560247,10.990303441240856
2023-02-09 12:30:00,2023-02-09 12:45:00,long,22582.40052580508,22679.402443578758,22558.150046361658,22679.402443578758,TP,0.3295465296651462,9.942459840347444
2023-02-13 02:30:00,2023-02-13 03:00:00,long,21608.032870331197,21758.12074719464,21570.510901115336,21758.12074719464,TP,0.5945929681064136,14.02724705769148
2023-03-03 07:00:00,2023-03-03 09:00:00,long,22331.83451359723,22447.375155095295,22302.949353222713,22447.375155095295,TP,0.417380878081086,12.2592144739929
2023-03-03 14:00:00,2023-03-03 14:15:00,short,22452.241993173822,22358.81366744572,22475.59907460585,22358.81366744572,TP,0.3161202509598253,10.816938088074954
2023-03-23 10:30:00,2023-03-23 11:00:00,short,27641.10776559288,27574.272528422145,27657.81657488556,27574.272528422145,TP,0.1417965218236605,6.361035912484948
2023-03-28 17:15:00,2023-03-28 18:30:00,long,26746.960600192437,26917.072434229296,26704.432641683223,26917.072434229296,TP,0.5360043542129996,15.159170942189334
2023-03-29 14:15:00,2023-03-29 14:30:00,short,28521.02134546492,28329.910531962392,28568.799048840552,28329.910531962392,TP,0.5700700202411093,16.255419188247174
2023-04-07 05:30:00,2023-04-07 07:30:00,long,27851.91112643089,28005.112191025157,27813.610860282322,27813.610860282322,SL,-0.2375139608004134,-7.9533102371260656
2023-04-09 06:00:00,2023-04-09 06:45:00,long,27900.970004577568,28008.518996024588,27874.082756715812,27874.082756715812,SL,-0.19636671362086924,-7.794244032383545
